Samples:              1000
Code base length:     50
Closeness difference: 8

Sample  Min_diff  Max_diff  Num_close
-------------------------------------
     0         4        14        432
     1         4        17        402
     2         4        16        246
     3         3        16        457
     4         0        13        938
     5         4        15        440
     6         2        14        609
     7         3        14        489
     8         2        15        758
     9         2        14        764
    10         1        15        774
    11         4        15        273
    12         3        17        299
    13         7        20          6
    14         3        14        638
    15         2        15        652
    16         3        15        616
    17         4        17        269
    18         5        17        119
    19         3        16        478
    20         3        16        419
    21         4        16        257
    22         5        16         48
    23         7        19          1
    24         4        16        251
    25         2        14        779
    26         5        17        110
    27         3        15        622
    28         4        16        149
    29         3        16        423
    30         1        14        879
    31         6        18         23
    32         6        19         66
    33         2        14        554
    34         4        16        234
    35         2        15        647
    36         2        14        605
    37         4        15        437
    38         3        16        440
    39         4        17        227
    40         1        14        878
    41         3        16        419
    42         7        19          4
    43         3        16        497
    44         4        16        231
    45         4        17        133
    46         7        19          1
    47         2        15        662
    48         5        16        211
    49         2        15        652
    50         5        18         99
    51         4        16        281
    52         4        17        240
    53         4        15        300
    54         4        15        263
    55         6        17        118
    56         4        16        312
    57         2        15        669
    58         3        14        468
    59         4        17        212
    60         4        17        246
    61         3        15        668
    62         4        15        256
    63         4        18        119
    64         2        15        627
    65         0        13        938
    66         5        16        114
    67         4        16        429
    68         4        17        237
    69         5        17        106
    70         3        15        674
    71         5        15        262
    72         3        15        597
    73         3        16        413
    74         2        14        646
    75         4        16        463
    76         3        15        645
    77         1        15        772
    78         4        16        439
    79         5        18        125
    80         4        14        449
    81         6        17         19
    82         5        17        116
    83         2        15        653
    84         4        16        283
    85         1        14        872
    86         4        15        417
    87         2        16        459
    88         2        14        662
    89         5        16        113
    90         6        17         33
    91         4        16        250
    92         5        16        144
    93         3        15        431
    94         5        17        173
    95         5        17        119
    96         3        14        617
    97         4        16        458
    98         6        18         15
    99         1        15        755
   100         1        14        877
   101         4        16        435
   102         5        18        148
   103         4        16        478
   104         4        14        411
   105         2        13        631
   106         2        15        636
   107         9        21          0
   108         6        19         42
   109         3        15        477
   110         4        16        246
   111         5        16        239
   112         5        16        269
   113         3        16        481
   114         5        18        155
   115         1        13        882
   116         4        15        271
   117         4        17        411
   118         2        15        646
   119         5        16        138
   120         4        17        277
   121         2        14        657
   122         3        16        615
   123         2        14        770
   124         5        15        271
   125         3        16        518
   126         5        15        230
   127         5        17        112
   128         2        15        704
   129         5        16        225
   130         5        16        212
   131         2        15        639
   132         2        14        792
   133         4        15        271
