Samples:              1000
Code base length:     100
Closeness difference: 17

Sample  Min_diff  Max_diff  Num_close
-------------------------------------
     0         9        24        630
     1         6        23        883
     2         9        24        739
     3         6        23        880
     4         7        23        882
     5        10        26        368
     6        13        28         55
     7         8        23        823
     8        12        28        253
     9         8        23        809
    10        12        29        254
    11        14        29         16
    12         9        25        636
    13         9        23        737
    14         6        23        929
    15        14        28         54
    16        12        27        285
    17         6        23        899
    18        10        25        510
    19         7        23        813
    20        11        27        259
    21         9        24        553
    22        14        29         48
    23         9        27        494
    24        10        26        555
    25        14        29         73
    26        11        28        185
    27        13        28         99
    28         6        22        878
    29         9        27        452
    30         9        23        745
    31        10        26        490
    32         8        23        776
    33         7        23        829
    34        10        26        420
    35        10        27        467
    36         9        24        595
    37        10        25        554
    38         6        21        939
    39        11        26        284
    40        12        31        117
    41        10        26        290
    42         6        21        916
    43         8        26        667
    44        12        30        277
    45        11        27        381
    46         9        24        682
    47        11        27        267
    48        14        31         80
    49         5        20        968
    50         9        25        512
    51         9        26        642
    52         9        25        565
    53        17        31          0
    54         8        25        500
    55        11        26        245
    56        10        26        464
    57         8        25        853
    58         5        24        843
    59         9        25        535
    60         9        26        623
    61         7        24        863
    62         8        24        733
    63         9        25        545
    64         8        24        620
    65         6        23        837
    66         8        24        734
    67        14        29         68
    68         8        24        804
    69         5        23        806
    70        10        26        405
    71         9        26        557
    72        12        27        138
    73        11        25        350
    74         4        22        887
    75        10        25        394
    76        10        25        557
    77         9        26        497
    78        12        26        239
    79         9        25        550
    80        10        29        187
    81        11        25        466
    82         7        22        900
    83        12        28        285
    84         8        24        770
    85        14        31         17
    86        10        26        404
    87         7        23        846
    88         5        22        969
    89         7        25        841
    90         9        27        679
    91        12        28        264
    92        11        25        301
    93        10        25        507
    94        10        25        539
    95         8        23        753
    96        11        26        280
    97         5        20        969
    98        12        26        324
    99        12        27        252
   100         9        25        428
   101         7        23        766
   102        11        27        199
   103         9        24        727
   104        14        29         28
   105         9        26        657
   106         8        24        745
   107         6        23        931
   108        10        25        390
   109         9        25        452
   110        15        32         20
   111        14        29         61
   112         6        24        897
   113         8        23        740
   114        12        28        199
   115        10        28        543
   116         9        24        682
   117         8        24        736
   118         5        23        931
   119         6        23        818
   120        10        24        505
   121         6        24        906
   122         6        24        921
   123        12        29        247
   124        12        27        261
   125         9        24        718
   126         7        25        779
   127         7        24        832
   128        14        28         72
   129        12        31        209
   130        12        29        183
   131         9        26        628
   132        10        26        490
   133        10        27        466
   134         6        22        831
   135        12        27        126
   136         8        23        790
   137         8        24        747
   138         7        22        891
   139         8        24        727
   140        11        27        340
   141        15        33          4
   142         8        26        742
   143        10        26        506
   144         7        23        816
   145         8        25        732
   146        11        28        330
   147        10        25        478
   148        12        28        271
   149         8        25        622
   150        10        25        515
   151        10        26        494
   152        10        25        485
   153        11        27        306
   154        15        29         34
   155         6        23        829
   156        13        29         82
   157         6        21        877
   158         9        28        251
   159         9        25        616
   160        12        29        197
   161        12        29        101
   162         9        24        609
   163        12        28         90
   164        13        27        109
   165        13        27        129
   166        12        27        248
   167        12        28        135
   168        10        26        476
   169         8        25        664
   170        10        27        401
   171        10        25        505
   172         8        25        756
   173        11        29        377
   174         9        25        655
   175         7        22        885
   176         8        25        628
   177         8        23        775
   178         5        22        962
   179         7        22        887
   180        12        28        166
   181         9        25        652
   182        10        25        527
   183         8        26        756
   184         9        25        624
   185         8        24        632
   186         8        23        746
   187         5        22        961
